asset,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_q25_cum_return,weighted_q75_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share,event_trough_cdf,mdd_trough_cdf,mdd_trough_hazard
USD_BROAD,13,2,2,0.03693466338538198,0.03693466338538198,0.054562454532937066,0.045275645774780604,0.06460167019132035,0.0,0.5,0.5,0.0,0.0
USD_BROAD,14,2,2,0.039651849646531456,0.039651849646531456,0.04027481196936855,0.045275645774780604,0.06460167019132035,0.0,0.0,0.5,0.0,0.0
USD_BROAD,15,2,2,0.035492704251382845,0.035492704251382845,0.03738517119539564,0.045275645774780604,0.06460167019132035,0.0,0.0,0.5,0.0,0.0
USD_BROAD,16,2,2,0.026534633105610883,0.026534633105610883,0.02755967488676281,0.045275645774780604,0.07398333260184964,0.0,0.5,0.5,0.5,0.5
USD_BROAD,17,2,2,0.02298759306779874,0.02298759306779874,0.04224957492101433,0.045275645774780604,0.07398333260184964,0.0,0.0,0.5,0.5,0.0
USD_BROAD,18,2,2,0.00956797198931203,0.00956797198931203,0.05780798625291084,0.045275645774780604,0.07398333260184964,0.0,0.0,0.5,0.5,0.0
USD_BROAD,19,2,2,-0.00564998143855322,-0.00564998143855322,0.07390932515878901,0.0580491372096964,0.07398333260184964,0.0,0.5,0.5,0.5,0.0
USD_BROAD,20,2,2,-0.015988216557499046,-0.015988216557499046,0.05412608787605011,0.06784257946668792,0.07398333260184964,0.5,0.5,0.5,0.5,0.0
USD_BROAD,21,2,2,-0.025403568924698194,-0.025403568924698194,0.04204776377531627,0.07398333260184964,0.07676177202484635,0.5,0.5,1.0,1.0,1.0
USD_BROAD,22,2,2,-0.007184374296855034,-0.007184374296855034,0.04547580623632652,0.07398333260184964,0.07676177202484635,0.0,0.0,1.0,1.0,
USD_BROAD,23,2,2,-0.004728067970614203,-0.004728067970614203,0.05276797425450597,0.07398333260184964,0.07676177202484635,0.0,0.0,1.0,1.0,
USD_BROAD,24,2,2,-0.007304044793262077,-0.007304044793262077,0.04922784677709835,0.07398333260184964,0.07676177202484635,0.0,0.0,1.0,1.0,
