date,legacy_26w_return,modern_126obs_return,legacy_sign,modern_sign,sign_agrees
2011-06-15,-0.05586501078299355,-0.04416962945631142,-1,-1,True
2011-06-22,-0.060157299008320564,-0.06463287648101768,-1,-1,True
2011-06-29,-0.051646705572161555,-0.054329731150555505,-1,-1,True
2011-07-06,-0.0532874129593347,-0.05415707129864955,-1,-1,True
2011-07-13,-0.05660178169740382,-0.056798200498068385,-1,-1,True
2011-07-20,-0.047047130984161356,-0.05367114183902433,-1,-1,True
2011-07-27,-0.05534896373450515,-0.053420533846694984,-1,-1,True
2011-08-03,-0.04752603985786086,-0.04533489052181716,-1,-1,True
2011-08-10,-0.03529317030436718,-0.0393875994081746,-1,-1,True
2011-08-17,-0.04751453921449622,-0.04483575348458846,-1,-1,True
2011-08-24,-0.0400990553313848,-0.032336728643057366,-1,-1,True
2011-08-31,-0.032592748587273124,-0.026643566763519422,-1,-1,True
2011-09-07,-0.017503333229977325,-0.015493442784251354,-1,-1,True
2011-09-14,-0.0017409916339586884,0.005847393431018366,-1,1,False
2011-09-21,0.006604613011399696,0.015554334301613348,1,1,True
2011-09-28,0.025063597905343515,0.0233992162329395,1,1,True
2011-10-05,0.03865405374694619,0.04809061935772796,1,1,True
2011-10-12,0.035301258979931305,0.02813335731846256,1,1,True
2011-10-19,0.026787790739406292,0.03511598950715045,1,1,True
2011-10-26,0.03167002871171953,0.03347782270304411,1,1,True
2011-11-02,0.036821204881513525,0.0468708682238872,1,1,True
2011-11-09,0.03391188482287588,0.037760709657312486,1,1,True
2011-11-16,0.029570322543782,0.029440749392248167,1,1,True
2011-11-23,0.03316317464649776,0.044393102523990535,1,1,True
2011-11-30,0.048319538680016816,0.044157181950116975,1,1,True
2011-12-07,0.04789195510093025,0.05288210057466025,1,1,True
2011-12-14,0.05523690539760606,0.07506825155226982,1,1,True
2011-12-21,0.058633089913346925,0.06197633976387906,1,1,True
2011-12-28,0.05150331767645433,0.054048775608146915,1,1,True
2012-01-04,0.05925312953110473,0.062024491592122644,1,1,True
2012-01-11,0.06278245000903837,0.05981275654177809,1,1,True
2012-01-18,0.06649818171851751,0.0647016031839287,1,1,True
2012-01-25,0.07049512939553071,0.07051579543585884,1,1,True
2012-02-01,0.056275395758160984,0.057326952795686115,1,1,True
2012-02-08,0.038485450306536606,0.035984443830946455,1,1,True
2012-02-15,0.04879571203679722,0.04749879330122697,1,1,True
2012-02-22,0.05246865742987317,0.050533958970040205,1,1,True
2012-02-29,0.048635822715002996,0.042461747967577956,1,1,True
2012-03-07,0.044339215295300605,0.057262085135558305,1,1,True
2012-03-14,0.03145871457531224,0.03219765771297722,1,1,True
2012-03-21,0.03183361929077866,0.03412639431557585,1,1,True
2012-03-28,0.008273306695792959,0.00433237761666283,1,1,True
2012-04-04,-0.003794851036712288,0.003301164908296572,-1,1,False
2012-04-11,0.01343409480612845,0.007144022857195509,1,1,True
2012-04-18,0.020714551357155386,0.017371496322298174,1,1,True
2012-04-25,0.02445324729439058,0.02453519656266323,1,1,True
2012-05-02,0.024275355652148223,0.027786460183277573,1,1,True
2012-05-09,0.019092485597558273,0.021757745284326724,1,1,True
2012-05-16,0.02308670974150928,0.026064150446586387,1,1,True
2012-05-23,0.02594422047634115,0.029971836541857533,1,1,True
2012-05-30,0.029881707408851543,0.0327168071395425,1,1,True
2012-06-06,0.04332489945640172,0.0364481977988067,1,1,True
2012-06-13,0.02586380921723852,0.017247655237401904,1,1,True
2012-06-20,0.011133769181260966,0.010911621654760895,1,1,True
2012-06-27,0.022685718247403175,0.01830960932495307,1,1,True
2012-07-04,0.020093665001056582,0.0144858408731805,1,1,True
2012-07-11,0.019822162105976426,0.017996067367701096,1,1,True
2012-07-18,0.021032385816462495,0.024273673976130672,1,1,True
2012-07-25,0.03191593953545535,0.043041071465594216,1,1,True
2012-08-01,0.03331947955831782,0.034476497135150996,1,1,True
2012-08-08,0.03404785463454907,0.03303349642017239,1,1,True
2012-08-15,0.02965958927565371,0.025082185797374645,1,1,True
2012-08-22,0.024066272397832433,0.026898763466735698,1,1,True
2012-08-29,0.022515372149250146,0.01589860585348357,1,1,True
2012-09-05,0.014193447360757894,0.014386222345908584,1,1,True
2012-09-12,-0.004231188420365406,-0.012905692409400205,-1,-1,True
2012-09-19,-0.014320399293339392,-0.014823897712365697,-1,-1,True
2012-09-26,-0.005471194640149002,-0.002230352961661297,-1,-1,True
2012-10-03,-0.0014907773594021734,-0.005134666697074075,-1,-1,True
2012-10-10,-0.008961964864403704,-0.006570704108344705,-1,-1,True
2012-10-17,-0.005824162879317196,-0.009296782430056272,-1,-1,True
2012-10-24,0.0019058821266182413,0.009305156569173079,1,1,True
2012-10-31,0.011892160791520778,0.01271931599424203,1,1,True
2012-11-07,0.007768485433062189,0.010644971506753143,1,1,True
2012-11-14,0.0016625960637428605,0.008472324689585697,1,1,True
2012-11-21,-0.0076202380217959,-0.0074274760498127534,-1,-1,True
2012-11-28,-0.023535414061991333,-0.021609754630542266,-1,-1,True
2012-12-05,-0.03012705279349359,-0.03419309444411922,-1,-1,True
2012-12-12,-0.0247317546635466,-0.031908428885944584,-1,-1,True
2012-12-19,-0.022126870371809715,-0.025920059107675697,-1,-1,True
2012-12-26,-0.026892018529718675,-0.02352068005589869,-1,-1,True
2013-01-02,-0.01831053871743371,-0.028307528444550423,-1,-1,True
2013-01-09,-0.02321995152692824,-0.019776363759677174,-1,-1,True
2013-01-16,-0.02805324247634744,-0.03330327774887343,-1,-1,True
2013-01-23,-0.024722675442601205,-0.020458385203628082,-1,-1,True
2013-01-30,-0.012890820218022903,-0.028439797606348294,-1,-1,True
2013-02-06,-0.012478372919880076,-0.012811554212920684,-1,-1,True
2013-02-13,-0.0036906752782422947,-0.003648983304974762,-1,-1,True
2013-02-20,0.003546742681735271,0.004812871429340948,1,1,True
2013-02-27,0.022242915264697904,0.019328294375069,1,1,True
2013-03-06,0.029866796687185504,0.027741761179621127,1,1,True
2013-03-13,0.048434748259459814,0.037852976025125606,1,1,True
2013-03-20,0.05793915266172456,0.05191349096126907,1,1,True
2013-03-27,0.05173559598722699,0.05749390586368808,1,1,True
2013-04-03,0.047220690878245986,0.04846629450933193,1,1,True
2013-04-10,0.05037401539569353,0.0479671435202087,1,1,True
2013-04-17,0.04875518386354538,0.0475891269487545,1,1,True
2013-04-24,0.05092205273653416,0.0614795380814217,1,1,True
2013-05-01,0.0374121232977731,0.028840223494314365,1,1,True
2013-05-08,0.03200089185933641,0.026019506670881265,1,1,True
2013-05-15,0.04059423768695147,0.04614858576549352,1,1,True
2013-05-22,0.050341638241860664,0.05604152735433132,1,1,True
2013-05-29,0.05680199309058298,0.0546761836219698,1,1,True
2013-06-05,0.05113590609751939,0.048475108643222686,1,1,True
2013-06-12,0.032829863028265516,0.02460912339901622,1,1,True
2013-06-19,0.029631507543886215,0.02967289907357551,1,1,True
2013-06-26,0.051429227099992536,0.0528949012682578,1,1,True
2013-07-03,0.056003855668390834,0.05918353598591475,1,1,True
2013-07-10,0.06364704463437532,0.06082660722878441,1,1,True
2013-07-17,0.05282203162289134,0.053747690578015206,1,1,True
2013-07-24,0.04250766600634992,0.03784634517754992,1,1,True
2013-07-31,0.032752820776618785,0.03681712373608792,1,1,True
2013-08-07,0.03825964226583056,0.03046996040626615,1,1,True
2013-08-14,0.02310101748392479,0.026911319121307287,1,1,True
2013-08-21,0.01847725063010408,0.011466130728341017,1,1,True
2013-08-28,0.011647397772470036,0.009013099317527473,1,1,True
2013-09-04,0.012354072938215221,0.008506294284156946,1,1,True
2013-09-11,0.0026151332357400303,-0.003486783928837056,1,-1,False
2013-09-18,-0.003870494359350607,-0.0060767698221839694,-1,-1,True
2013-09-25,-0.012177392184392621,-0.012341229331929826,-1,-1,True
2013-10-02,-0.012105164353763298,-0.01804045728217929,-1,-1,True
2013-10-09,-0.015814778986333655,-0.005453124758576844,-1,-1,True
2013-10-16,-0.007697087613324771,-0.010121877004555913,-1,-1,True
2013-10-23,-0.0250645013526688,-0.027516301229709383,-1,-1,True
2013-10-30,-0.014520740530123644,-0.005269766063239367,-1,-1,True
2013-11-06,-0.0035766981082363536,-0.0002814784934915826,-1,-1,True
2013-11-13,-0.009617348697845807,-0.012851012449622279,-1,-1,True
2013-11-20,-0.022553604858372656,-0.020208642978120417,-1,-1,True
2013-11-27,-0.01829055537315638,-0.016367476240760293,-1,-1,True
2013-12-04,-0.008130978613007156,-0.006234358362491199,-1,-1,True
2013-12-11,0.0034952942884673988,-0.004056022013998906,1,-1,False
2013-12-18,0.01167493841110634,0.010816794989881418,1,1,True
2013-12-25,-0.007854763525627195,-0.008725606504206729,-1,-1,True
2014-01-01,-0.017214215909999275,-0.016802356919120576,-1,-1,True
2014-01-08,-0.02346552919112843,-0.020406487943316787,-1,-1,True
2014-01-15,-0.0034072741159792974,-0.0022512084408946587,-1,-1,True
2014-01-22,0.007108748758702044,0.002352171643552836,1,1,True
2014-01-29,0.011347341101833885,0.008905530647659976,1,1,True
2014-02-05,0.01271286134798677,0.007957889365821869,1,1,True
2014-02-12,0.013703946857736016,0.01564713813644536,1,1,True
2014-02-19,0.006724532182159404,0.002271892860469693,1,1,True
2014-02-26,0.00608973226380205,0.013229075540257984,1,1,True
2014-03-05,-0.0030164031535833136,0.002774941609005932,-1,1,False
2014-03-12,-0.0018971915302271602,-0.006939214222291823,-1,-1,True
2014-03-19,0.003217337317956037,-0.0033574853908441282,1,-1,False
2014-03-26,0.020782516144272734,0.00677304053059502,1,1,True
2014-04-02,0.01873039919204822,0.017280582587899662,1,1,True
2014-04-09,0.018837844569136175,0.010381019599810415,1,1,True
2014-04-16,0.007519812322430486,0.016807538670509103,1,1,True
2014-04-23,0.02247351942355147,0.011849777053735577,1,1,True
2014-04-30,0.018851492237267342,0.015565230042639877,1,1,True
2014-05-07,0.0037666999398440204,0.010301842186781762,1,1,True
2014-05-14,3.941047188793512e-05,0.00724799755521266,1,1,True
2014-05-21,0.0040635209810369055,0.0022354579887688963,1,1,True
2014-05-28,0.003569934385078133,0.00977637887170446,1,1,True
2014-06-04,0.0027988725963141725,0.004550302402542172,1,1,True
2014-06-11,0.009145820124750514,0.0044302261348199146,1,1,True
2014-06-18,0.007426410129912853,0.010033137780609325,1,1,True
2014-06-25,-0.001992986572875055,-0.0010908189405832713,-1,-1,True
2014-07-02,-0.0051647281991272775,-0.008940422777783952,-1,-1,True
2014-07-09,-0.009291851820926511,-0.00843898052289871,-1,-1,True
2014-07-16,-0.011232306227454525,-0.011062139325334508,-1,-1,True
2014-07-23,-0.01299025214167282,-0.011384248210023928,-1,-1,True
2014-07-30,-0.00396206680690081,0.0013611965483011357,-1,1,False
2014-08-06,-0.002824034755762317,-0.004802200720761984,-1,-1,True
2014-08-13,0.0034796084045325415,0.0025659557125390364,1,1,True
2014-08-20,0.011206706260212362,0.015554291513639074,1,1,True
2014-08-27,0.014362724820026651,0.009979024149955995,1,1,True
2014-09-03,0.017671072056330672,0.018050024854016966,1,1,True
2014-09-10,0.033896687592000374,0.035146451756939534,1,1,True
2014-09-17,0.041031752899559626,0.026499235954274836,1,1,True
2014-09-24,0.03847483937398111,0.04449027212677015,1,1,True
2014-10-01,0.05369709697827463,0.05051297216694395,1,1,True
2014-10-08,0.0593602650028171,0.06386122256835058,1,1,True
2014-10-15,0.06086452620043148,0.05382393038178934,1,1,True
2014-10-22,0.05438007137564371,0.05596671170617862,1,1,True
2014-10-29,0.05774732089245016,0.05518613943872763,1,1,True
2014-11-05,0.07995242448110806,0.08733691158385737,1,1,True
2014-11-12,0.08671932573967256,0.07929478637164111,1,1,True
2014-11-19,0.08390307470243452,0.08244760347434688,1,1,True
2014-11-26,0.08234829802888388,0.07582523421766929,1,1,True
2014-12-03,0.08871735222586441,0.08957201710881946,1,1,True
2014-12-10,0.09171119056401866,0.08545394029671582,1,1,True
2014-12-17,0.09291823915797193,0.09398599560925658,1,1,True
2014-12-24,0.11161232083720396,0.11183714777596276,1,1,True
2014-12-31,0.12010301325642936,0.1183398344696509,1,1,True
2015-01-07,0.13499992098567737,0.14118785928510968,1,1,True
2015-01-14,0.13863234478826447,0.13748263982729725,1,1,True
2015-01-21,0.14077739182124205,0.14665726781556998,1,1,True
2015-01-28,0.15360112425342543,0.15756919186879736,1,1,True
2015-02-04,0.15380344037587856,0.1485773468804441,1,1,True
2015-02-11,0.15306465589715068,0.15814173635227702,1,1,True
2015-02-18,0.14774352131832758,0.14794530945049233,1,1,True
2015-02-25,0.14248487048054104,0.1418967150774184,1,1,True
2015-03-04,0.1491003558117412,0.1504869181049302,1,1,True
2015-03-11,0.16451355530800837,0.1846432966371534,1,1,True
2015-03-18,0.17187596426686746,0.16646474718166537,1,1,True
2015-03-25,0.14448428337498065,0.14175235342849457,1,1,True
2015-04-01,0.13302755700809632,0.14628960863527607,1,1,True
2015-04-08,0.12282232329938214,0.12460950447464358,1,1,True
2015-04-15,0.14257738713820878,0.13308399660636527,1,1,True
2015-04-22,0.1282431734427305,0.12673986340451293,1,1,True
2015-04-29,0.11111538037260749,0.09007583956328369,1,1,True
2015-05-06,0.08351231530097647,0.09274623087238232,1,1,True
2015-05-13,0.06790939772551452,0.058054224526963294,1,1,True
2015-05-20,0.0691581234004055,0.07965538504047642,1,1,True
2015-05-27,0.09057320933961521,0.09919899290362522,1,1,True
2015-06-03,0.08714399455140187,0.08396170749572707,1,1,True
2015-06-10,0.0724696167755754,0.06568111076067051,1,1,True
2015-06-17,0.0677815428880042,0.06338561612129445,1,1,True
2015-06-24,0.05096066910443775,0.06321733706147636,1,1,True
2015-07-01,0.057582211108874404,0.06168690898126039,1,1,True
2015-07-08,0.053484926363519314,0.051355721259693565,1,1,True
2015-07-15,0.052118872380759074,0.05678870913341316,1,1,True
2015-07-22,0.059049971363937415,0.05696639968536754,1,1,True
2015-07-29,0.03526575933332876,0.03319668745317328,1,1,True
2015-08-05,0.03652948059101413,0.04723176969873011,1,1,True
2015-08-12,0.03424956394452128,0.020476243846343056,1,1,True
2015-08-19,0.0343370002532144,0.034675092472589375,1,1,True
2015-08-26,0.01727520900870161,0.014217475341536945,1,1,True
2015-09-02,0.0195145757635522,0.0013878893328296282,1,1,True
2015-09-09,-0.0036005124975568847,-0.009761718962669863,-1,-1,True
2015-09-16,-0.019795457329983,-0.019643594704462974,-1,-1,True
2015-09-23,-0.0004955249611127144,0.013090212625655573,-1,1,False
2015-09-30,0.0034482871649637037,0.009182875938655632,1,1,True
2015-10-07,0.0024859464895070627,-0.01312779711586276,1,-1,False
2015-10-14,-0.02071668229542145,-0.020329125140049364,-1,-1,True
2015-10-21,-0.006927715152602376,-0.003372347673514575,-1,-1,True
2015-10-28,0.025074488342337276,0.04144923200346051,1,1,True
2015-11-04,0.03842915482874587,0.05376451990878528,1,1,True
2015-11-11,0.059720887482271,0.06677582585449682,1,1,True
2015-11-18,0.06418688839866515,0.05874839272463617,1,1,True
2015-11-25,0.04211893342544748,0.03465063054043416,1,1,True
